Longitude,Latitude
141.801964971533,37.973367902289
141.961173011531,37.0977236823001
142.120381051529,36.2220794623111
142.938736719418,35.9639952730318
143.802163544548,35.7481385667495
144.665590369677,35.5322818604671
145.529017194806,35.3164251541848
146.398948855627,35.2266641662555
147.280003904986,35.3525291733067
148.161058954344,35.4783941803579
149.042114003702,35.6042591874091
149.923169053061,35.7301241944603
150.774410692556,35.9222926120573
151.453264390042,36.4978424860126
152.132118087528,37.0733923599679
152.810971785014,37.6489422339232
153.489825482499,38.2244921078785
154.168679179985,38.8000419818338
154.847532877471,39.3755918557891
155.526386574957,39.9511417297444
156.205240272442,40.5266916036997
156.884093969928,41.102241477655
157.562947667414,41.6777913516103
158.241823558034,42.25331497611
158.922254239691,42.8269996346637
159.602684921348,43.4006842932173
160.283115603005,43.974368951771
160.963546284662,44.5480536103246
161.643976966319,45.1217382688783
162.324407647976,45.6954229274319
163.004838329633,46.2691075859855
163.68526901129,46.8427922445392
164.365699692947,47.4164769030928
165.046130374604,47.9901615616465
165.726561056261,48.5638462202001
166.406991737918,49.1375308787538
167.087422419575,49.7112155373074
167.767853101232,50.2849001958611
168.448283782889,50.8585848544147
169.128714464546,51.4322695129683
169.809145146203,52.005954171522
170.48957582786,52.5796388300756
171.170006509517,53.1533234886293
171.850437191173,53.7270081471829
172.53086787283,54.3006928057365
173.211298554487,54.8743774642902
173.891729236144,55.4480621228438
174.572159917801,56.0217467813975
175.252590599458,56.5954314399511
175.933021281115,57.1691160985048
176.613451962772,57.7428007570584
177.293882644429,58.3164854156121
177.974313326086,58.8901700741657
178.654744007743,59.4638547327193
179.3351746894,60.037539391273
180.015605371057,60.6112240498266
142.325718015666,42.0685378590078
142.529563022682,41.2021965791909
142.733408029697,40.3358552993741
142.937253036713,39.4695140195572
143.406387037395,38.7302629868041
143.953765338232,38.0284959344483
144.50114363907,37.3267288820925
145.048521939907,36.6249618297366
145.595900240745,35.9231947773808
-179.656517691067,60.2364010741685
-178.771511558338,60.3305506627568
-177.886505425608,60.424700251345
-167.541098157066,69.4903459684998
-167.856422599936,68.5456297437813
-167.949522148357,67.5499729384092
