Longitude,Latitude
-39.456,-20.742
-39.374,24.739
-39.266,37.474
-39.258,0.24865
-39.234,-20.336
-39.14,47.401
-39.013,-19.93
-38.948,-39.32
-38.914,-0.049633
-38.892,24.849
-38.793,-19.524
-38.703,37.529
-38.575,-19.118
-38.569,-0.34791
-38.486,47.491
-38.409,24.958
-38.378,-39.408
-38.357,-18.711
-38.225,-0.64618
-38.141,-18.304
-38.139,37.58
-37.926,25.066
-37.925,-17.896
-37.88,-0.94442
-37.83,47.578
-37.807,-39.493
-37.711,-17.489
-37.574,37.629
-37.536,-1.2426
-37.497,-17.081
-37.442,25.171
-37.285,-16.673
-37.234,-39.575
-37.191,-1.5408
-37.172,47.66
-37.073,-16.265
-37.008,37.675
-36.957,25.275
-36.862,-15.856
-36.847,-1.8389
-36.66,-39.655
-36.652,-15.447
-36.511,47.739
-36.502,-2.1369
-36.471,25.378
-36.443,-15.038
-36.442,37.719
-36.235,-14.629
-36.157,-2.4349
-36.085,-39.732
-36.027,-14.22
-35.984,25.479
-35.875,37.76
-35.849,47.814
-35.82,-13.81
-35.812,-2.7327
-35.614,-13.4
-35.508,-39.805
-35.497,25.578
-35.466,-3.0305
-35.409,-12.991
-35.307,37.797
-35.204,-12.581
-35.185,47.886
-35.121,-3.3281
-35.008,25.676
-35,-12.17
-34.931,-39.876
-34.796,-11.76
-34.775,-3.6256
-34.739,37.833
-34.593,-11.349
-34.52,47.953
-34.519,25.772
-34.429,-3.923
-34.391,-10.938
-34.352,-39.944
-34.189,-10.528
-34.171,37.865
-34.083,-4.2203
-34.029,25.866
-33.988,-10.117
-33.852,48.017
-33.787,-9.7054
-33.772,-40.01
-33.737,-4.5173
-33.602,37.895
-33.587,-9.2941
-33.539,25.959
-33.39,-4.8143
-33.387,-8.8827
-33.191,-40.072
-33.188,-8.4712
-33.183,48.076
-33.047,26.05
-33.043,-5.111
-33.032,37.922
-32.989,-8.0596
-32.79,-7.6479
-32.696,-5.4075
-32.608,-40.131
-32.592,-7.236
-32.555,26.139
-32.513,48.132
-32.462,37.946
-32.395,-6.8241
-32.348,-5.7039
-32.197,-6.4121
-32.062,26.227
-32.025,-40.188
-32,-6
-32,-6
-32,-6
-31.892,37.968
-31.841,48.184
-31.751,-5.615
-31.569,26.313
-31.503,-5.2298
-31.441,-40.241
-31.321,37.987
-31.255,-4.8446
-31.168,48.232
-31.074,26.397
-31.007,-4.4593
-30.856,-40.291
-30.759,-4.0739
-30.75,38.003
-30.579,26.479
-30.512,-3.6884
-30.493,48.276
-30.27,-40.339
-30.265,-3.3028
-30.179,38.016
-30.084,26.56
-30.017,-2.9172
-29.818,48.316
-29.771,-2.5315
-29.684,-40.383
-29.608,38.026
-29.587,26.639
-29.524,-2.1457
-29.277,-1.7599
-29.141,48.352
-29.096,-40.425
-29.09,26.717
-29.037,38.034
-29.031,-1.3741
-28.785,-0.98827
-28.592,26.792
-28.538,-0.6024
-28.508,-40.464
-28.465,38.039
-28.464,48.384
-28.292,-0.21652
-28.094,26.866
-28.046,0.16937
-27.919,-40.499
-27.894,38.041
-27.8,0.55525
-27.785,48.412
-27.595,26.938
-27.553,0.94112
-27.33,-40.532
-27.322,38.04
-27.307,1.327
-27.107,48.436
-27.095,27.009
-27.061,1.7128
-26.814,2.0986
-26.75,38.037
-26.74,-40.561
-26.595,27.077
-26.567,2.4844
-26.427,48.456
-26.321,2.8701
-26.179,38.031
-26.15,-40.588
-26.094,27.144
-26.074,3.2557
-25.827,3.6413
-25.747,48.472
-25.608,38.022
-25.592,27.209
-25.579,4.0268
-25.559,-40.611
-25.333,4.413
-25.09,27.272
-25.085,4.7983
-25.067,48.484
-25.037,38.01
-24.968,-40.632
-24.837,5.1836
-24.589,5.5687
-24.587,27.334
-24.465,37.995
-24.386,48.492
-24.376,-40.65
-24.34,5.9538
-24.091,6.3387
-24.084,27.393
-23.895,37.978
-23.841,6.7235
-23.784,-40.664
-23.705,48.496
-23.592,7.1082
-23.581,27.451
-23.341,7.4927
-23.324,37.958
-23.192,-40.675
-23.091,7.8771
-23.076,27.507
-23.024,48.496
-22.84,8.2613
-22.754,37.935
-22.6,-40.684
-22.588,8.6453
-22.572,27.561
-22.344,48.492
-22.336,9.0292
-22.184,37.91
-22.083,9.4129
-22.066,27.613
-22.008,-40.689
-21.83,9.7964
-21.663,48.484
-21.615,37.881
-21.576,10.18
-21.561,27.663
-21.415,-40.692
-21.322,10.563
-21.066,10.946
-21.055,27.712
-21.046,37.85
-20.983,48.472
-20.823,-40.691
-20.811,11.328
-20.554,11.711
-20.548,27.759
-20.478,37.816
-20.303,48.456
-20.297,12.093
-20.23,-40.687
-20.041,27.804
-20.039,12.475
-19.91,37.78
-19.781,12.857
-19.638,-40.68
-19.623,48.435
-19.534,27.847
-19.521,13.238
-19.343,37.74
-19.261,13.619
-19.046,-40.67
-19.026,27.888
-19,14
-19,14
-18.944,48.411
-18.776,37.698
-18.734,13.627
-18.517,27.927
-18.469,13.253
-18.454,-40.658
-18.266,48.383
-18.21,37.654
-18.205,12.879
-18.009,27.965
-17.942,12.505
-17.862,-40.642
-17.679,12.13
-17.645,37.606
-17.589,48.351
-17.5,28
-17.417,11.755
-17.271,-40.623
-17.156,11.38
-17.081,37.556
-16.912,48.315
-16.895,11.005
-16.68,-40.601
-16.635,10.629
-16.517,37.503
-16.376,10.254
-16.237,48.275
-16.117,9.8775
-16.089,-40.576
-15.954,37.447
-15.86,9.5013
-15.602,9.1249
-15.562,48.231
-15.501,-40.547
-15.392,37.389
-15.345,8.7484
-15.089,8.3716
-14.911,-40.516
-14.889,48.182
-14.833,7.9947
-14.831,37.328
-14.577,7.6176
-14.322,7.2403
-14.322,-40.481
-14.27,37.265
-14.217,48.13
-14.068,6.8629
-13.814,6.4854
-13.733,-40.444
-13.711,37.198
-13.56,6.1077
-13.547,48.075
-13.306,5.7299
-13.153,37.13
-13.146,-40.404
-13.053,5.352
-12.878,48.015
-12.8,4.9739
-12.595,37.058
-12.559,-40.361
-12.548,4.5958
-12.296,4.2176
-12.211,47.951
-12.044,3.8392
-12.039,36.984
-11.972,-40.316
-11.792,3.4609
-11.545,47.884
-11.54,3.0824
-11.484,36.907
-11.387,-40.267
-11.289,2.7039
-11.038,2.3253
-10.93,36.828
-10.881,47.812
-10.802,-40.215
-10.787,1.9466
-10.536,1.568
-10.377,36.746
-10.285,1.1893
-10.219,47.737
-10.219,-40.16
-10.034,0.81054
-9.8256,36.662
-9.7834,0.43179
-9.6358,-40.102
-9.559,47.658
-9.5326,0.053033
-9.2819,-0.32572
-9.2752,36.575
-9.054,-40.042
-9.0312,-0.70448
-8.901,47.575
-8.7804,-1.0832
-8.7261,36.485
-8.5296,-1.4619
-8.4734,-39.978
-8.2787,-1.8406
-8.2451,47.489
-8.1782,36.393
-8.0276,-2.2193
-7.8938,-39.911
-7.7765,-2.5979
-7.6316,36.298
-7.5914,47.398
-7.5252,-2.9764
-7.3154,-39.842
-7.2738,-3.355
-7.0864,36.202
-7.0221,-3.7334
-6.9399,47.304
-6.7703,-4.1117
-6.7382,-39.77
-6.5425,36.102
-6.5182,-4.49
-6.2908,47.206
-6.2659,-4.8682
-6.1622,-39.695
-6.0132,-5.2463
-6,36
-5.7603,-5.6243
-5.6442,47.105
-5.5875,-39.617
-5.5071,-6.0022
-5.2535,-6.3799
-5.0141,-39.536
-5,47
-4.9996,-6.7575
-4.7452,-7.135
-4.4905,-7.5123
-4.442,-39.452
-4.2353,-7.8895
-3.9796,-8.2665
-3.8714,-39.366
-3.7235,-8.6434
-3.4669,-9.0201
-3.3021,-39.277
-3.2097,-9.3965
-2.952,-9.7729
-2.7343,-39.185
-2.6937,-10.149
-2.4717,-10.516
-2.2123,-10.892
-2.1681,-39.09
-1.9522,-11.267
-1.6915,-11.643
-1.6034,-38.992
-1.43,-12.017
-1.1678,-12.392
-1.0402,-38.892
-0.90487,-12.767
-0.64114,-13.141
-0.47863,-38.789
-0.3766,-13.514
